local code,text,table_name,parent_varname,local code system,code,display,code system,comment
heme_other_specify,heme_other_specify,condition,MONDO Code,condition_description,0005570,hematologic disorder,http://purl.obolibrary.org/obo/mondo.owl,
PDA,PDA,condition,MONDO Code,condition_description,0011827,patent ductus arteriosus,http://purl.obolibrary.org/obo/mondo.owl,
Spondylosis,Spondylosis,condition,MONDO Code,condition_description,0002253,spondylosis,http://purl.obolibrary.org/obo/mondo.owl,
Myopia,Myopia,condition,MONDO Code,condition_description,0001384,myopia,http://purl.obolibrary.org/obo/mondo.owl,
All malignant neoplamsm,All malignant neoplamsm,condition,MONDO Code,condition_description,0004992,cancer,http://purl.obolibrary.org/obo/mondo.owl,
Chronic nasopharyngitis,Chronic nasopharyngitis,condition,MONDO Code,condition_description,0001040,nasopharyngitis,http://purl.obolibrary.org/obo/mondo.owl,
Hirschsprung disease,Hirschsprung disease,condition,MONDO Code,condition_description,0018309,Hirschsprung disease,http://purl.obolibrary.org/obo/mondo.owl,
C. difficile,C. difficile,condition,MONDO Code,condition_description,0000705,Clostridium difficile colitis,http://purl.obolibrary.org/obo/mondo.owl,
Congestive heart failure,Congestive heart failure,condition,MONDO Code,condition_description,0005009,congestive heart failure,http://purl.obolibrary.org/obo/mondo.owl,
Congestive heart failure,Congestive heart failure,condition,MONDO Code,condition_description,0005252,heart failure,http://purl.obolibrary.org/obo/mondo.owl,
Dysmenorrhea,Dysmenorrhea,condition,HPO Code,condition_description,0100607,Dysmenorrhea,http://purl.obolibrary.org/obo/hp.owl,
Athlete's Foot,Athlete's Foot,condition,MONDO Code,condition_description,0005984,tinea pedis,http://purl.obolibrary.org/obo/mondo.owl,
Obsessive Compulsive Disorder,Obsessive Compulsive Disorder,condition,MONDO Code,condition_description,0008114,obsessive-compulsive disorder,http://purl.obolibrary.org/obo/mondo.owl,
Rheumatoid arthritis,Rheumatoid arthritis,condition,MONDO Code,condition_description,0008383,rheumatoid arthritis,http://purl.obolibrary.org/obo/mondo.owl,
Neutropenia,Neutropenia,condition,MONDO Code,condition_description,0001475,neutropenia,http://purl.obolibrary.org/obo/mondo.owl,
Change in skin texture ,Change in skin texture ,condition,Other Code,condition_description,R23.4,Changes in skin texture,http://hl7.org/fhir/sid/icd-10-cm,
Please specify diabetes type,Please specify diabetes type,condition,MONDO Code,condition_description,0005015,diabetes mellitus,http://purl.obolibrary.org/obo/mondo.owl,
Epilepsy,Epilepsy,condition,MONDO Code,condition_description,0005027,epilepsy,http://purl.obolibrary.org/obo/mondo.owl,
Hyperopia,Hyperopia,condition,MONDO Code,condition_description,0004891,hyperopia,http://purl.obolibrary.org/obo/mondo.owl,
ASD,ASD,condition,MONDO Code,condition_description,0006664,atrial septal defect,http://purl.obolibrary.org/obo/mondo.owl,
gi_hemorrhoids_status,gi_hemorrhoids_status,condition,MONDO Code,condition_description,0004872,hemorrhoid,http://purl.obolibrary.org/obo/mondo.owl,
Nystagmus,Nystagmus,condition,MONDO Code,condition_description,0004843,pathologic nystagmus,http://purl.obolibrary.org/obo/mondo.owl,
Hyperthyroidism,Hyperthyroidism,condition,MONDO Code,condition_description,0004425,hyperthyroidism,http://purl.obolibrary.org/obo/mondo.owl,
Renal agenesis,Renal agenesis,condition,MONDO Code,condition_description,0018470,renal agenesis,http://purl.obolibrary.org/obo/mondo.owl,
Shingles,Shingles,condition,MONDO Code,condition_description,0005609,herpes zoster,http://purl.obolibrary.org/obo/mondo.owl,
Psoriatic arthritis,Psoriatic arthritis,condition,MONDO Code,condition_description,0011849,psoriatic arthritis,http://purl.obolibrary.org/obo/mondo.owl,
AMKL or AML-M7,AMKL or AML-M7,condition,MONDO Code,condition_description,0018872,acute megakaryoblastic leukemia,http://purl.obolibrary.org/obo/mondo.owl,
Retinal detachment,Retinal detachment,condition,MONDO Code,condition_description,0008375,retinal detachment,http://purl.obolibrary.org/obo/mondo.owl,
Nonalcoholicsteatohepatitis,Nonalcoholicsteatohepatitis,condition,MONDO Code,condition_description,0004790,fatty liver disease,http://purl.obolibrary.org/obo/mondo.owl,
Diverticulitis,Diverticulitis,condition,MONDO Code,condition_description,0004235,diverticulitis,http://purl.obolibrary.org/obo/mondo.owl,
endo_vitamind_status,endo_vitamind_status,condition,MONDO Code,condition_description,0100471,vitamin D deficiency,http://purl.obolibrary.org/obo/mondo.owl,
